I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.455,-0.065,-0.52,-0.195,0.48750000000000004,-0.2925,-0.895,0.46,-0.34,-0.075,-1.38,1.19
0.455,-0.065,-0.52,-0.195,0.48750000000000004,-0.2925,-0.895,0.46,-0.34,-0.075,-1.38,1.19
0.455,-0.065,-0.52,-0.195,0.48750000000000004,-0.2925,-0.895,0.459,-0.341,-0.076,-1.38,1.19
0.454,-0.064,-0.519,-0.195,0.486,-0.29100000000000004,-0.894,0.462,-0.338,-0.073,-1.379,1.19
0.456,-0.066,-0.522,-0.195,0.489,-0.29400000000000004,-0.897,0.457,-0.343,-0.078,-1.382,1.19
0.455,-0.065,-0.52,-0.195,0.48750000000000004,-0.2925,-0.895,0.46,-0.34,-0.075,-1.38,1.19
0.431,-0.031,-0.463,-0.2,0.4465,-0.2465,-0.849,0.528,-0.258,0.011,-1.334,1.179
0.411,0.012,-0.399,-0.2115,0.40499999999999997,-0.19349999999999998,-0.798,0.614,-0.151,0.125,-1.282,1.163
0.382,0.027,-0.356,-0.20450000000000002,0.3685,-0.164,-0.767,0.663,-0.085,0.183,-1.241,1.148
0.339,0.018,-0.321,-0.17850000000000002,0.33,-0.15150000000000002,-0.744,0.687,-0.051,0.211,-1.206,1.138
0.31,0.02,-0.29,-0.165,0.3,-0.135,-0.72,0.715,-0.015,0.26,-1.175,1.13
0.309,0.032,-0.277,-0.17049999999999998,0.293,-0.1225,-0.711,0.728,-0.005,0.269,-1.166,1.126
0.31,0.041,-0.269,-0.1755,0.2895,-0.11399999999999999,-0.704,0.739,-0.002,0.284,-1.162,1.122
0.312,0.051,-0.261,-0.1815,0.2865,-0.10500000000000001,-0.698,0.748,0.002,0.3,-1.158,1.118
0.315,0.062,-0.253,-0.1885,0.28400000000000003,-0.0955,-0.694,0.75,0.007,0.3,-1.154,1.114
0.315,0.07,-0.245,-0.1925,0.28,-0.0875,-0.685,0.75,0.015,0.3,-1.15,1.11
0.321,0.083,-0.238,-0.202,0.2795,-0.0775,-0.677,0.75,0.019,0.3,-1.146,1.103
0.311,0.086,-0.225,-0.1985,0.268,-0.0695,-0.672,0.75,0.024,0.3,-1.142,1.122
0.321,0.085,-0.236,-0.203,0.2785,-0.0755,-0.668,0.75,0.024,0.302,-1.138,1.126
0.342,0.085,-0.257,-0.21350000000000002,0.29950000000000004,-0.08600000000000001,-0.664,0.749,0.019,0.306,-1.135,1.106
0.335,0.085,-0.25,-0.21000000000000002,0.29250000000000004,-0.0825,-0.66,0.75,0.02,0.31,-1.135,1.095
0.331,0.085,-0.246,-0.20800000000000002,0.28850000000000003,-0.0805,-0.656,0.766,0.036,0.314,-1.135,1.083
0.327,0.085,-0.242,-0.20600000000000002,0.28450000000000003,-0.0785,-0.652,0.775,0.045,0.318,-1.132,1.071
0.323,0.085,-0.238,-0.20400000000000001,0.2805,-0.0765,-0.648,0.775,0.045,0.322,-1.129,1.059
0.319,0.085,-0.234,-0.202,0.2765,-0.0745,-0.644,0.775,0.045,0.325,-1.13,1.046
0.315,0.085,-0.23,-0.2,0.2725,-0.0725,-0.64,0.775,0.045,0.325,-1.13,1.04
