I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.585,-0.097,-0.682,-0.244,0.633,-0.389,-1.028,0.239,-0.581,-0.335,-1.517,1.266
0.457,-0.04,-0.498,-0.208,0.477,-0.269,-0.875,0.484,-0.302,-0.043,-1.366,1.185
0.312,0.039,-0.273,-0.175,0.293,-0.117,-0.708,0.741,0.006,0.287,-1.164,1.12
0.318,0.071,-0.248,-0.194,0.283,-0.088,-0.684,0.741,0.006,0.291,-1.15,1.123
0.33,0.089,-0.241,-0.209,0.285,-0.076,-0.655,0.764,0.036,0.316,-1.131,1.077
0.312,0.083,-0.228,-0.197,0.27,-0.072,-0.635,0.777,0.05,0.327,-1.126,1.082
0.304,0.086,-0.218,-0.195,0.261,-0.066,-0.608,0.772,0.06,0.33,-1.121,1.163
0.296,0.085,-0.212,-0.19,0.254,-0.064,-0.592,0.78,0.071,0.341,-1.111,1.147
0.295,0.084,-0.211,-0.189,0.253,-0.064,-0.595,0.777,0.06,0.336,-1.107,1.126
0.297,0.096,-0.202,-0.196,0.249,-0.053,-0.588,0.782,0.072,0.349,-1.089,1.128
0.298,0.095,-0.203,-0.196,0.25,-0.054,-0.588,0.778,0.084,0.356,-1.079,1.131
0.285,0.095,-0.191,-0.19,0.238,-0.048,-0.583,0.781,0.094,0.363,-1.064,1.104
0.287,0.091,-0.196,-0.188,0.241,-0.052,-0.583,0.779,0.088,0.359,-1.053,1.057
0.299,0.089,-0.209,-0.194,0.254,-0.06,-0.578,0.78,0.093,0.362,-1.042,1.017
0.286,0.092,-0.194,-0.189,0.24,-0.051,-0.576,0.78,0.096,0.359,-1.035,0.956
0.275,0.093,-0.182,-0.184,0.228,-0.044,-0.573,0.78,0.094,0.363,-1.031,0.925
0.277,0.104,-0.173,-0.19,0.225,-0.034,-0.57,0.786,0.104,0.363,-1.025,0.872
0.266,0.102,-0.164,-0.184,0.215,-0.03,-0.569,0.783,0.118,0.372,-1.019,0.794
0.252,0.096,-0.156,-0.173,0.204,-0.03,-0.558,0.792,0.126,0.374,-1.015,0.76
0.247,0.094,-0.154,-0.17,0.2,-0.03,-0.537,0.81,0.148,0.384,-1.003,0.732
0.242,0.086,-0.156,-0.163,0.198,-0.034,-0.516,0.827,0.183,0.418,-0.989,0.681
0.24,0.086,-0.154,-0.162,0.196,-0.034,-0.504,0.839,0.191,0.42,-0.976,0.63
0.227,0.072,-0.156,-0.149,0.191,-0.041,-0.496,0.842,0.208,0.424,-0.958,0.589
0.238,0.084,-0.154,-0.16,0.196,-0.035,-0.493,0.829,0.221,0.421,-0.937,0.557
0.27,0.112,-0.157,-0.191,0.213,-0.022,-0.48,0.779,0.184,0.402,-0.918,0.531
0.269,0.108,-0.161,-0.188,0.215,-0.026,-0.496,0.726,0.134,0.377,-0.91,0.517
0.278,0.119,-0.159,-0.198,0.218,-0.02,-0.535,0.68,0.089,0.334,-0.904,0.496
0.288,0.127,-0.162,-0.207,0.224,-0.017,-0.554,0.64,0.055,0.294,-0.897,0.444
0.281,0.124,-0.157,-0.202,0.218,-0.016,-0.571,0.622,0.025,0.264,-0.89,0.393
0.295,0.126,-0.169,-0.21,0.232,-0.022,-0.574,0.616,0.007,0.257,-0.884,0.352
0.297,0.124,-0.173,-0.211,0.234,-0.024,-0.571,0.608,-0.002,0.251,-0.88,0.307
0.28,0.125,-0.155,-0.203,0.217,-0.014,-0.57,0.601,-0.012,0.242,-0.874,0.265
0.268,0.121,-0.147,-0.194,0.208,-0.012,-0.569,0.593,-0.028,0.236,-0.87,0.226
0.262,0.119,-0.143,-0.19,0.203,-0.011,-0.57,0.591,-0.046,0.228,-0.866,0.192
0.282,0.116,-0.166,-0.199,0.223,-0.025,-0.57,0.6,-0.044,0.225,-0.861,0.165
0.27,0.113,-0.157,-0.192,0.213,-0.021,-0.569,0.596,-0.041,0.22,-0.857,0.142
0.242,0.11,-0.132,-0.175,0.187,-0.011,-0.563,0.591,-0.039,0.218,-0.851,0.129
0.247,0.11,-0.136,-0.178,0.191,-0.013,-0.558,0.587,-0.035,0.213,-0.846,0.114
0.255,0.12,-0.135,-0.187,0.195,-0.008,-0.554,0.582,-0.034,0.21,-0.84,0.099
0.266,0.117,-0.149,-0.191,0.207,-0.016,-0.55,0.578,-0.028,0.214,-0.834,0.083
0.259,0.111,-0.148,-0.185,0.204,-0.018,-0.545,0.574,-0.023,0.215,-0.83,0.062
0.251,0.108,-0.142,-0.179,0.196,-0.017,-0.541,0.575,-0.018,0.217,-0.822,0.034
0.242,0.101,-0.14,-0.171,0.191,-0.019,-0.536,0.572,-0.011,0.22,-0.813,-0.007
0.233,0.101,-0.132,-0.167,0.183,-0.015,-0.531,0.569,-0.006,0.221,-0.805,-0.032
0.244,0.11,-0.134,-0.177,0.188,-0.012,-0.527,0.57,-0.001,0.224,-0.797,-0.073
0.232,0.11,-0.122,-0.171,0.177,-0.006,-0.522,0.565,0.004,0.228,-0.791,-0.122
0.233,0.105,-0.128,-0.169,0.18,-0.011,-0.518,0.555,0.007,0.23,-0.783,-0.164
0.213,0.104,-0.108,-0.159,0.16,-0.002,-0.515,0.548,0.013,0.231,-0.777,-0.222
0.199,0.098,-0.101,-0.149,0.15,-0.001,-0.512,0.538,0.014,0.24,-0.77,-0.287
0.232,0.103,-0.129,-0.167,0.18,-0.013,-0.509,0.528,0.01,0.24,-0.765,-0.344
0.214,0.115,-0.099,-0.164,0.156,0.008,-0.506,0.506,0.009,0.24,-0.757,-0.393
0.206,0.115,-0.09,-0.16,0.148,0.012,-0.504,0.473,0.002,0.24,-0.747,-0.443
0.205,0.115,-0.09,-0.159,0.147,0.012,-0.501,0.453,0.021,0.24,-0.737,-0.475
0.196,0.115,-0.08,-0.155,0.137,0.017,-0.493,0.437,0.045,0.239,-0.727,-0.505
0.197,0.115,-0.082,-0.156,0.139,0.016,-0.487,0.426,0.045,0.234,-0.718,-0.552
0.183,0.114,-0.069,-0.148,0.126,0.022,-0.48,0.423,0.045,0.23,-0.708,-0.59
0.213,0.132,-0.082,-0.172,0.147,0.025,-0.474,0.419,0.046,0.224,-0.702,-0.623
0.217,0.143,-0.074,-0.181,0.146,0.035,-0.468,0.415,0.045,0.244,-0.675,-0.655
0.191,0.144,-0.047,-0.167,0.118,0.049,-0.464,0.412,0.046,0.259,-0.639,-0.653
0.201,0.159,-0.043,-0.18,0.122,0.058,-0.465,0.408,0.044,0.253,-0.634,-0.66
0.204,0.157,-0.047,-0.18,0.125,0.054,-0.462,0.405,0.045,0.257,-0.635,-0.651
0.206,0.151,-0.056,-0.178,0.131,0.047,-0.459,0.399,0.056,0.254,-0.631,-0.675
0.201,0.147,-0.055,-0.174,0.128,0.046,-0.46,0.398,0.061,0.255,-0.628,-0.611
0.193,0.138,-0.055,-0.165,0.124,0.041,-0.468,0.392,0.053,0.259,-0.631,-0.309
